image,formula
MfrDB3500.png,$ { ( 1 + x ) ^ { r } } \geq 1 + r x $
formulaire031-equation022.png,$ v ( a + i b ) = a ^ 2 + b ^ 2 $
200923-1251-167.png,$ { \mbox { F } H } $
rit_4220_4.png,$ - \frac { h ^ { 2 } _ { 3 } + h ^ { 2 } _ { 2 } } { h _ { 3 } } = \frac { h _ { 3 } } { h _ { 3 } h _ { 0 } - h _ { 2 } h _ { 1 } } $
123_em_370.png,$ V = \int _ 0 ^ { x _ 1 } 2 S \mathrm d x $
UN_460_em_844.png,$ 4 8 ! / ( 1 7 ! 3 1 ! ) $
formulaire004-equation063.png,$ e = 2 $
2009213-137-29.png,$ \frac { { 6 - \beta } } { \mbox { N } } $
MfrDB1620.png,$ \frac { 1 } { 2 } { ( 1 9 x - 2 y ) ^ { x - y } } $
200923-1553-41.png,$ \frac { 9 } { \mbox { e } } $
105_em_64.png,$ 1 + a ( p ) p ^ { - s } + a ( p ^ 2 ) p ^ { - 2 s } + \ldots $
UN_112_em_265.png,$ \tan \theta = F _ { 7 8 } $
200923-1556-82.png,$ \left [ { \cdots - z } \right ] $
UN_460_em_839.png,$ x ^ u d x ^ u = d x ^ u x ^ e $
200923-1251-215.png,$ 2 3 $
formulaire002-equation046.png,$ x ^ { - 4 } $
200923-131-197.png,$ \beta $
rit_42120_1.png,$ \frac { 1 } { \cos ^ { 2 } \times } $
200923-1253-171.png,$ \sqrt { { o - 0 } } $
MfrDB2378.png,$ \frac { { 2 ^ { 5 } } } { 3 + 1 } $
200923-1556-56.png,$ 2 \alpha + 3 \sqrt { \beta } $
formulaire021-equation052.png,$ a ^ { i j } $
26_em_93.png,$ 4 \times 4 + 4 - 4 \ ! $
200923-1556-234.png,$ { - { \sigma \mbox { m } } } $
RIT_2014_189.png,$ \sqrt { 6 4 8 + 6 4 8 } A B O V E { 4 } + 8 $
MfrDB0807.png,$ e = m { c ^ { 2 } } $
RIT_2014_121.png,$ f ( z ) = z $
UN_129_em_1045.png,$ V . C $
200926-1550-44.png,$ \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } $
200923-1254-49.png,$ \cos \left ( 0 \right ) = 1 $
formulaire003-equation028.png,$ 3 ^ 3 + 7 ^ 3 + 1 ^ 3 = 3 7 1 $
92_lucelia.png,$ y = \frac { x \prime \sin \theta + y \prime \sin ( w \prime + \theta ) } { \sin w } $
formulaire030-equation071.png,$ \alpha \beta 0 $
RIT_2014_22.png,$ 3 . 0 0 0 0 0 0 0 1 $
MfrDB1984.png,$ \sin x = \sin ( x + 2 \pi k ) $
UN_104_em_76.png,$ A B C = C B A $
200923-1553-199.png,$ 3 . 1 $
2009213-137-2.png,$ \int e ^ { x ^ 2 } x ^ 3 d x $
MfrDB1505.png,"$ g ( 2 , 3 , 4 ) = 3 { 4 ^ { - 3 } } $"
89_carlos.png,$ x ^ \prime = x \cos \theta + y \sin \theta $
2009213-137-187.png,$ i $
MfrDB3020.png,$ ( \frac { 1 } { { m ^ { 2 } } } - \frac { 3 m } { n } + \frac { 2 } { m n } ) $
formulaire058-equation026.png,$ x = y $
200923-131-227.png,$ { \mbox { y } } _ { \phi } $
MfrDB0657.png,$ \int { x ^ { 5 } } d x $
TrainData2_17_sub_9.png,$ \sqrt { b ^ { 2 } - 4 a c } $
200922-949-105.png,$ \tan 9 $
